"Measure","Sex","Year","Quintile","Rate","Lower CI","Upper CI","Deaths"
"Avoidable mortality","Male","2020 (excluding COVID-19)","5","173","158.19999999999999","187.7","537"
"Avoidable mortality","Female","2001","1","409.1","383","435.2","949"
"Avoidable mortality","Female","2001","2","325.7","302.8","348.7","777"
"Avoidable mortality","Female","2001","3","272","251.7","292.3","693"
"Avoidable mortality","Female","2001","4","249.1","230","268.2","653"
"Avoidable mortality","Female","2001","5","184.7","168","201.4","471"
"Avoidable mortality","Female","2002","1","409.6","383.3","435.9","937"
"Avoidable mortality","Female","2002","2","309","286.7","331.4","735"
"Avoidable mortality","Female","2002","3","257.5","237.9","277.2","661"
"Avoidable mortality","Female","2002","4","213.9","196.4","231.5","570"
"Avoidable mortality","Female","2002","5","189.4","172.7","206.2","493"
"Avoidable mortality","Female","2003","1","408","381.9","434.1","940"
"Avoidable mortality","Female","2003","2","296.89999999999998","275","318.7","711"
"Avoidable mortality","Female","2003","3","255","235.5","274.39999999999998","662"
"Avoidable mortality","Female","2003","4","212.6","195.2","230","574"
"Avoidable mortality","Female","2003","5","179.8","163.6","196","475"
"Avoidable mortality","Female","2004","1","389.5","363.9","415","894"
"Avoidable mortality","Female","2004","2","279","258","300.10000000000002","676"
"Avoidable mortality","Female","2004","3","212.4","194.7","230","558"
"Avoidable mortality","Female","2004","4","226.9","209","244.9","618"
"Avoidable mortality","Female","2004","5","165.1","149.69999999999999","180.6","442"
"Avoidable mortality","Female","2005","1","382.8","357.5","408","887"
"Avoidable mortality","Female","2005","2","300","277.7","322.39999999999998","698"
"Avoidable mortality","Female","2005","3","223.8","206.1","241.6","614"
"Avoidable mortality","Female","2005","4","192.8","176.4","209.2","534"
"Avoidable mortality","Female","2005","5","156.5","141.4","171.5","416"
"Avoidable mortality","Female","2006","1","360.8","336.3","385.4","834"
"Avoidable mortality","Female","2006","2","283.89999999999998","262.39999999999998","305.39999999999998","671"
"Avoidable mortality","Female","2006","3","219.7","202.2","237.1","613"
"Avoidable mortality","Female","2006","4","179.9","164.1","195.7","501"
"Avoidable mortality","Female","2006","5","162.30000000000001","147","177.5","439"
"Avoidable mortality","Female","2007","1","357","332.7","381.3","832"
"Avoidable mortality","Female","2007","2","290.5","268.8","312.3","688"
"Avoidable mortality","Female","2007","3","226.2","208.6","243.8","637"
"Avoidable mortality","Female","2007","4","179.5","163.80000000000001","195.2","508"
"Avoidable mortality","Female","2007","5","164.5","149.30000000000001","179.7","452"
"Avoidable mortality","Female","2008","1","372.3","347.3","397.4","854"
"Avoidable mortality","Female","2008","2","282.60000000000002","261.60000000000002","303.7","697"
"Avoidable mortality","Female","2008","3","217.7","200.4","235","614"
"Avoidable mortality","Female","2008","4","200.4","184.1","216.7","587"
"Avoidable mortality","Female","2008","5","138.9","125.1","152.6","393"
"Avoidable mortality","Female","2009","1","321.2","298","344.3","746"
"Avoidable mortality","Female","2009","2","266.39999999999998","246.1","286.8","661"
"Avoidable mortality","Female","2009","3","207.1","190.5","223.8","595"
"Avoidable mortality","Female","2009","4","172.2","157.19999999999999","187.2","513"
"Avoidable mortality","Female","2009","5","145.19999999999999","131.1","159.19999999999999","414"
"Avoidable mortality","Female","2010","1","332.8","309.3","356.4","773"
"Avoidable mortality","Female","2010","2","266.3","246.1","286.5","672"
"Avoidable mortality","Female","2010","3","208.8","192.1","225.5","604"
"Avoidable mortality","Female","2010","4","166.9","152.19999999999999","181.6","500"
"Avoidable mortality","Female","2010","5","136.30000000000001","122.8","149.80000000000001","394"
"Avoidable mortality","Female","2011","1","342.2","318.2","366.2","789"
"Avoidable mortality","Female","2011","2","251.2","232","270.3","662"
"Avoidable mortality","Female","2011","3","197.8","181.5","214.1","573"
"Avoidable mortality","Female","2011","4","159","144.6","173.4","473"
"Avoidable mortality","Female","2011","5","138.4","124.9","152","408"
"Avoidable mortality","Female","2012","1","320.10000000000002","297.10000000000002","343.2","747"
"Avoidable mortality","Female","2012","2","251.3","232.3","270.3","676"
"Avoidable mortality","Female","2012","3","197.3","181.2","213.4","582"
"Avoidable mortality","Female","2012","4","171.3","156.5","186.1","519"
"Avoidable mortality","Female","2012","5","127","114.2","139.9","383"
"Avoidable mortality","Female","2013","1","300.60000000000002","278.39999999999998","322.89999999999998","709"
"Avoidable mortality","Female","2013","2","229.7","211.7","247.7","627"
"Avoidable mortality","Female","2013","3","197.2","181.2","213.1","591"
"Avoidable mortality","Female","2013","4","175.4","160.5","190.3","539"
"Avoidable mortality","Female","2013","5","125.8","113.2","138.5","388"
"Avoidable mortality","Female","2014","1","304.89999999999998","282.5","327.2","719"
"Avoidable mortality","Female","2014","2","235.1","216.9","253.2","647"
"Avoidable mortality","Female","2014","3","191.9","176.2","207.5","582"
"Avoidable mortality","Female","2014","4","162.69999999999999","148.4","176.9","506"
"Avoidable mortality","Female","2014","5","124.2","111.7","136.69999999999999","384"
"Avoidable mortality","Female","2015","1","336.3","313","359.7","804"
"Avoidable mortality","Female","2015","2","265.7","246.4","285","732"
"Avoidable mortality","Female","2015","3","200.8","184.9","216.8","614"
"Avoidable mortality","Female","2015","4","159.19999999999999","145.4","173","515"
"Avoidable mortality","Female","2015","5","150.6","137","164.3","474"
"Avoidable mortality","Female","2016","1","336.9","313.7","360.1","818"
"Avoidable mortality","Female","2016","2","242.9","224.6","261.2","681"
"Avoidable mortality","Female","2016","3","202.4","186.5","218.4","626"
"Avoidable mortality","Female","2016","4","157","143.30000000000001","170.6","517"
"Avoidable mortality","Female","2016","5","126","113.7","138.4","409"
"Avoidable mortality","Female","2017","1","333.3","310.3","356.2","816"
"Avoidable mortality","Female","2017","2","246.7","228.4","265","701"
"Avoidable mortality","Female","2017","3","192.4","177.1","207.8","609"
"Avoidable mortality","Female","2017","4","167.8","153.80000000000001","181.8","562"
"Avoidable mortality","Female","2017","5","117.7","105.9","129.5","388"
"Avoidable mortality","Female","2018","1","345.8","322.60000000000002","369.1","856"
"Avoidable mortality","Female","2018","2","259.2","240.6","277.8","749"
"Avoidable mortality","Female","2018","3","192.3","177","207.6","614"
"Avoidable mortality","Female","2018","4","163.19999999999999","149.4","176.9","552"
"Avoidable mortality","Female","2018","5","126","113.8","138.19999999999999","418"
"Avoidable mortality","Female","2019","1","328.4","305.89999999999998","351","822"
"Avoidable mortality","Female","2019","2","234","216.3","251.7","678"
"Avoidable mortality","Female","2019","3","193.8","178.3","209.2","617"
"Avoidable mortality","Female","2019","4","150.5","137.4","163.69999999999999","513"
"Avoidable mortality","Female","2019","5","123.7","111.7","135.6","420"
"Avoidable mortality","Female","2020","1","381","356.9","405.1","965"
"Avoidable mortality","Female","2020","2","262.89999999999998","244.3","281.60000000000002","769"
"Avoidable mortality","Female","2020","3","208.5","192.7","224.3","680"
"Avoidable mortality","Female","2020","4","175.9","161.69999999999999","190","605"
"Avoidable mortality","Female","2020","5","146.1","133.1","159.1","496"
"Avoidable mortality","Female","2020 (excluding COVID-19)","1","327.39999999999998","305.10000000000002","349.7","831"
"Avoidable mortality","Female","2020 (excluding COVID-19)","2","232.9","215.3","250.5","680"
"Avoidable mortality","Female","2020 (excluding COVID-19)","3","189.4","174.3","204.4","616"
"Avoidable mortality","Female","2020 (excluding COVID-19)","4","158.1","144.6","171.5","541"
"Avoidable mortality","Female","2020 (excluding COVID-19)","5","131.19999999999999","118.9","143.6","446"
"Treatable mortality","Male","2001","1","234.5","213.5","255.5","482.5"
"Treatable mortality","Male","2001","2","200.3","181.2","219.4","424.5"
"Treatable mortality","Male","2001","3","165.4","148.80000000000001","182","383.5"
"Treatable mortality","Male","2001","4","143.80000000000001","128.6","159","345.5"
"Treatable mortality","Male","2001","5","131.6","116.8","146.30000000000001","306.5"
"Treatable mortality","Male","2002","1","239.5","218.3","260.8","493"
"Treatable mortality","Male","2002","2","195.1","176.4","213.8","422"
"Treatable mortality","Male","2002","3","173.2","156.4","190.1","409"
"Treatable mortality","Male","2002","4","140.1","125.2","155","343"
"Treatable mortality","Male","2002","5","121.2","107","135.30000000000001","285.5"
"Treatable mortality","Male","2003","1","253.6","231.7","275.5","519.5"
"Treatable mortality","Male","2003","2","182.7","164.8","200.6","402.5"
"Treatable mortality","Male","2003","3","146.6","131.30000000000001","161.9","354.5"
"Treatable mortality","Male","2003","4","132.5","118.1","146.9","328.5"
"Treatable mortality","Male","2003","5","123.8","109.7","137.9","299.5"
"Treatable mortality","Male","2004","1","212.5","192.6","232.5","440.5"
"Treatable mortality","Male","2004","2","180.4","162.5","198.2","397"
"Treatable mortality","Male","2004","3","140.5","125.6","155.4","345"
"Treatable mortality","Male","2004","4","125.7","111.8","139.6","319.5"
"Treatable mortality","Male","2004","5","109.2","96","122.3","268"
"Treatable mortality","Male","2005","1","211.2","191.3","231.1","438.5"
"Treatable mortality","Male","2005","2","176.9","159","194.7","382"
"Treatable mortality","Male","2005","3","150.69999999999999","135.69999999999999","165.7","391"
"Treatable mortality","Male","2005","4","113.4","100.4","126.5","294.5"
"Treatable mortality","Male","2005","5","101.4","88.7","114.1","247.5"
"Treatable mortality","Male","2006","1","202.7","183.3","222.1","426"
"Treatable mortality","Male","2006","2","166.4","149.19999999999999","183.6","363"
"Treatable mortality","Male","2006","3","129.30000000000001","115.5","143.1","339"
"Treatable mortality","Male","2006","4","115.7","102.6","128.69999999999999","305.5"
"Treatable mortality","Male","2006","5","83.4","72","94.9","207"
"Treatable mortality","Male","2007","1","203.9","184.7","223.2","436.5"
"Treatable mortality","Male","2007","2","158.1","141.6","174.6","358"
"Treatable mortality","Male","2007","3","121.8","108.5","135.1","326"
"Treatable mortality","Male","2007","4","100.8","88.8","112.8","275"
"Treatable mortality","Male","2007","5","94.5","82.4","106.5","238"
"Treatable mortality","Male","2008","1","174.5","156.69999999999999","192.3","374.5"
"Treatable mortality","Male","2008","2","147.5","131.80000000000001","163.30000000000001","339.5"
"Treatable mortality","Male","2008","3","130.19999999999999","116.5","143.9","349.5"
"Treatable mortality","Male","2008","4","92.9","81.5","104.3","257.5"
"Treatable mortality","Male","2008","5","83.8","72.7","95","219"
"Treatable mortality","Male","2009","1","188.1","169.7","206.6","405"
"Treatable mortality","Male","2009","2","147.19999999999999","131.6","162.80000000000001","346.5"
"Treatable mortality","Male","2009","3","117.4","104.5","130.30000000000001","322.5"
"Treatable mortality","Male","2009","4","91.5","80.3","102.6","261"
"Treatable mortality","Male","2009","5","89.2","77.7","100.6","235.5"
"Treatable mortality","Male","2010","1","177.8","159.9","195.6","387.5"
"Treatable mortality","Male","2010","2","141.9","126.7","157","342.5"
"Treatable mortality","Male","2010","3","114.5","101.9","127.1","320"
"Treatable mortality","Male","2010","4","93.6","82.4","104.8","270"
"Treatable mortality","Male","2010","5","74.3","64","84.7","199.5"
"Treatable mortality","Male","2011","1","170.4","152.9","188","368"
"Treatable mortality","Male","2011","2","132.30000000000001","118","146.6","332"
"Treatable mortality","Male","2011","3","104.6","92.5","116.7","291"
"Treatable mortality","Male","2011","4","86.4","75.5","97.2","247"
"Treatable mortality","Male","2011","5","68.900000000000006","59","78.8","189"
"Treatable mortality","Male","2012","1","167.2","149.9","184.4","368"
"Treatable mortality","Male","2012","2","133.9","119.6","148.19999999999999","340"
"Treatable mortality","Male","2012","3","104.4","92.5","116.4","296"
"Treatable mortality","Male","2012","4","81.2","70.7","91.7","232"
"Treatable mortality","Male","2012","5","77.3","66.900000000000006","87.6","217.5"
"Treatable mortality","Male","2013","1","166.5","149.4","183.7","367"
"Treatable mortality","Male","2013","2","124.6","111","138.19999999999999","323"
"Treatable mortality","Male","2013","3","101.5","89.9","113.1","295.5"
"Treatable mortality","Male","2013","4","87.1","76.400000000000006","97.7","257.5"
"Treatable mortality","Male","2013","5","73.400000000000006","63.4","83.4","209"
"Treatable mortality","Male","2014","1","148.69999999999999","132.69999999999999","164.8","334"
"Treatable mortality","Male","2014","2","127.2","113.5","140.80000000000001","335"
"Treatable mortality","Male","2014","3","99.8","88.3","111.3","292.5"
"Treatable mortality","Male","2014","4","79.3","69.3","89.4","241.5"
"Treatable mortality","Male","2014","5","71.900000000000006","62.3","81.5","216"
"Treatable mortality","Male","2015","1","169.6","152.5","186.8","383"
"Treatable mortality","Male","2015","2","123.8","110.3","137.19999999999999","327"
"Treatable mortality","Male","2015","3","114.1","101.8","126.5","330.5"
"Treatable mortality","Male","2015","4","85.2","74.900000000000006","95.6","264"
"Treatable mortality","Male","2015","5","70.5","60.9","80","212.5"
"Treatable mortality","Male","2016","1","166.5","149.69999999999999","183.3","383"
"Treatable mortality","Male","2016","2","124.7","111.2","138.1","332"
"Treatable mortality","Male","2016","3","99.8","88.4","111.1","299"
"Treatable mortality","Male","2016","4","88.9","78.5","99.3","284.5"
"Treatable mortality","Male","2016","5","71.5","62","81.099999999999994","217.5"
"Treatable mortality","Male","2017","1","167.5","150.69999999999999","184.3","387"
"Treatable mortality","Male","2017","2","118.2","105.3","131.19999999999999","319.5"
"Treatable mortality","Male","2017","3","98.4","87.1","109.6","297.5"
"Treatable mortality","Male","2017","4","88.3","78","98.6","286.5"
"Treatable mortality","Male","2017","5","68.7","59.4","78","211.5"
"Treatable mortality","Male","2018","1","177.1","160.1","194","420"
"Treatable mortality","Male","2018","2","131.30000000000001","117.7","144.9","360"
"Treatable mortality","Male","2018","3","102.3","90.9","113.7","312"
"Treatable mortality","Male","2018","4","82.3","72.5","92.1","272"
"Treatable mortality","Male","2018","5","64.8","55.8","73.7","203.5"
"Treatable mortality","Male","2019","1","166.3","149.9","182.6","398"
"Treatable mortality","Male","2019","2","128.9","115.5","142.30000000000001","356.5"
"Treatable mortality","Male","2019","3","93.9","83","104.8","289"
"Treatable mortality","Male","2019","4","93.7","83.2","104.3","310.5"
"Treatable mortality","Male","2019","5","65","56","74","203.5"
"Treatable mortality","Male","2020","1","164.2","147.9","180.4","395.5"
"Treatable mortality","Male","2020","2","123","109.9","136.1","340.5"
"Treatable mortality","Male","2020","3","106.9","95.4","118.5","332.5"
"Treatable mortality","Male","2020","4","76.900000000000006","67.400000000000006","86.5","254.5"
"Treatable mortality","Male","2020","5","63.8","54.8","72.7","198"
"Treatable mortality","Female","2001","1","185.1","167.6","202.6","429.5"
"Treatable mortality","Female","2001","2","148","132.5","163.4","353.5"
"Treatable mortality","Female","2001","3","132.19999999999999","118.1","146.30000000000001","337"
"Treatable mortality","Female","2001","4","121.2","107.9","134.6","317.5"
"Treatable mortality","Female","2001","5","95.3","83.3","107.3","243.5"
"Treatable mortality","Female","2002","1","176.5","159.30000000000001","193.8","403"
"Treatable mortality","Female","2002","2","145.1","129.80000000000001","160.4","344.5"
"Treatable mortality","Female","2002","3","124.8","111.2","138.5","321"
"Treatable mortality","Female","2002","4","103.8","91.6","116.1","277.5"
"Treatable mortality","Female","2002","5","100","87.8","112.1","261.5"
"Treatable mortality","Female","2003","1","176.9","159.69999999999999","194.2","406"
"Treatable mortality","Female","2003","2","145.69999999999999","130.4","161","348"
"Treatable mortality","Female","2003","3","117.1","103.9","130.19999999999999","304"
"Treatable mortality","Female","2003","4","106","93.7","118.3","286"
"Treatable mortality","Female","2003","5","90.9","79.400000000000006","102.4","240.5"
"Treatable mortality","Female","2004","1","173.7","156.69999999999999","190.8","399"
"Treatable mortality","Female","2004","2","121.3","107.4","135.19999999999999","294.5"
"Treatable mortality","Female","2004","3","102.5","90.2","114.7","269.5"
"Treatable mortality","Female","2004","4","116.3","103.5","129.1","317.5"
"Treatable mortality","Female","2004","5","82.1","71.2","93","220.5"
"Treatable mortality","Female","2005","1","169.3","152.4","186.1","390.5"
"Treatable mortality","Female","2005","2","138.6","123.4","153.69999999999999","322"
"Treatable mortality","Female","2005","3","104.3","92.2","116.4","284.5"
"Treatable mortality","Female","2005","4","94.3","82.8","105.8","261"
"Treatable mortality","Female","2005","5","77.8","67.2","88.4","208"
"Treatable mortality","Female","2006","1","154.19999999999999","138.19999999999999","170.3","355.5"
"Treatable mortality","Female","2006","2","128.30000000000001","113.8","142.80000000000001","303.5"
"Treatable mortality","Female","2006","3","103.5","91.5","115.4","289"
"Treatable mortality","Female","2006","4","92.2","80.900000000000006","103.5","257"
"Treatable mortality","Female","2006","5","85.3","74.2","96.3","231"
"Treatable mortality","Female","2007","1","149.5","133.80000000000001","165.2","349"
"Treatable mortality","Female","2007","2","117.7","103.8","131.5","277"
"Treatable mortality","Female","2007","3","106.4","94.3","118.4","300"
"Treatable mortality","Female","2007","4","91","79.8","102.1","256"
"Treatable mortality","Female","2007","5","81.900000000000006","71.099999999999994","92.6","225.5"
"Treatable mortality","Female","2008","1","148.69999999999999","132.80000000000001","164.6","340"
"Treatable mortality","Female","2008","2","120.7","106.9","134.5","295"
"Treatable mortality","Female","2008","3","94.6","83.2","105.9","268"
"Treatable mortality","Female","2008","4","94.2","83","105.3","277"
"Treatable mortality","Female","2008","5","68.5","58.9","78.2","194"
"Treatable mortality","Female","2009","1","132.19999999999999","117.3","147.1","306"
"Treatable mortality","Female","2009","2","116.4","103","129.9","289.5"
"Treatable mortality","Female","2009","3","95.9","84.6","107.3","275.5"
"Treatable mortality","Female","2009","4","81.2","70.900000000000006","91.4","242"
"Treatable mortality","Female","2009","5","73.599999999999994","63.6","83.6","210"
"Treatable mortality","Female","2010","1","131.9","117.1","146.80000000000001","304.5"
"Treatable mortality","Female","2010","2","118.8","105.3","132.30000000000001","300"
"Treatable mortality","Female","2010","3","95.7","84.4","107","276"
"Treatable mortality","Female","2010","4","81","70.8","91.3","243"
"Treatable mortality","Female","2010","5","64","54.7","73.3","183.5"
"Treatable mortality","Female","2011","1","136.6","121.4","151.80000000000001","314"
"Treatable mortality","Female","2011","2","110","97.3","122.7","290"
"Treatable mortality","Female","2011","3","85.3","74.599999999999994","95.9","248.5"
"Treatable mortality","Female","2011","4","74.8","64.900000000000006","84.7","222.5"
"Treatable mortality","Female","2011","5","69.2","59.6","78.7","204"
"Treatable mortality","Female","2012","1","133.80000000000001","118.9","148.69999999999999","312.5"
"Treatable mortality","Female","2012","2","99.2","87.3","111.1","267"
"Treatable mortality","Female","2012","3","88.1","77.3","98.8","259"
"Treatable mortality","Female","2012","4","79.8","69.599999999999994","90","239"
"Treatable mortality","Female","2012","5","62.4","53.5","71.400000000000006","189.5"
"Treatable mortality","Female","2013","1","119.2","105.2","133.19999999999999","281.5"
"Treatable mortality","Female","2013","2","90.5","79.2","101.8","247.5"
"Treatable mortality","Female","2013","3","87","76.400000000000006","97.6","259.5"
"Treatable mortality","Female","2013","4","82.3","72.099999999999994","92.6","251.5"
"Treatable mortality","Female","2013","5","63.8","54.9","72.8","196.5"
"Treatable mortality","Female","2014","1","118.4","104.4","132.30000000000001","280"
"Treatable mortality","Female","2014","2","100.3","88.4","112.2","276"
"Treatable mortality","Female","2014","3","78.8","68.8","88.9","238.5"
"Treatable mortality","Female","2014","4","75.3","65.599999999999994","85","234"
"Treatable mortality","Female","2014","5","58","49.4","66.5","178.5"
"Treatable mortality","Female","2015","1","128","113.7","142.4","306.5"
"Treatable mortality","Female","2015","2","123","109.8","136.1","338"
"Treatable mortality","Female","2015","3","89.7","79","100.4","272.5"
"Treatable mortality","Female","2015","4","68.3","59.3","77.3","222"
"Treatable mortality","Female","2015","5","77.400000000000006","67.599999999999994","87.2","242.5"
"Treatable mortality","Female","2016","1","122.9","108.9","136.80000000000001","301"
"Treatable mortality","Female","2016","2","104.4","92.4","116.4","292.5"
"Treatable mortality","Female","2016","3","82.9","72.7","93.1","256"
"Treatable mortality","Female","2016","4","73.7","64.400000000000006","83.1","242.5"
"Treatable mortality","Female","2016","5","60.8","52.3","69.400000000000006","197"
"Treatable mortality","Female","2017","1","126.5","112.4","140.6","309"
"Treatable mortality","Female","2017","2","107.2","95.1","119.3","304.5"
"Treatable mortality","Female","2017","3","82.9","72.8","93","262.5"
"Treatable mortality","Female","2017","4","78.8","69.2","88.4","262.5"
"Treatable mortality","Female","2017","5","57.1","48.9","65.3","188.5"
"Treatable mortality","Female","2018","1","139.69999999999999","125","154.5","346.5"
"Treatable mortality","Female","2018","2","99.6","88.1","111.1","288"
"Treatable mortality","Female","2018","3","82","72","92","261.5"
"Treatable mortality","Female","2018","4","79.2","69.599999999999994","88.8","266"
"Treatable mortality","Female","2018","5","60.5","52","69","199.5"
"Treatable mortality","Female","2019","1","127.1","113.1","141.1","320.5"
