"Measure","Sex","Year","Quintile","Deaths","Rate","Lower CI","Upper CI"
"Avoidable mortality","Male","2020 (excluding COVID-19)","3","12555","249.1","244.7","253.5"
"Avoidable mortality","Male","2020 (excluding COVID-19)","4","10550","202.2","198.3","206"
"Avoidable mortality","Male","2020 (excluding COVID-19)","5","8481","162.80000000000001","159.30000000000001","166.3"
"Avoidable mortality","Female","2001","1","13890","393.6","387","400.2"
"Avoidable mortality","Female","2001","2","10633","284.2","278.8","289.7"
"Avoidable mortality","Female","2001","3","9582","236.7","232","241.5"
"Avoidable mortality","Female","2001","4","8237","195.1","190.9","199.3"
"Avoidable mortality","Female","2001","5","7217","172.6","168.6","176.6"
"Avoidable mortality","Female","2002","1","13343","382.1","375.5","388.6"
"Avoidable mortality","Female","2002","2","10298","275.8","270.39999999999998","281.10000000000002"
"Avoidable mortality","Female","2002","3","9294","228.1","223.4","232.7"
"Avoidable mortality","Female","2002","4","8316","194.3","190.1","198.5"
"Avoidable mortality","Female","2002","5","7047","165.4","161.5","169.3"
"Avoidable mortality","Female","2003","1","13171","379.5","373","386"
"Avoidable mortality","Female","2003","2","10307","275.3","270","280.7"
"Avoidable mortality","Female","2003","3","9151","222.1","217.6","226.7"
"Avoidable mortality","Female","2003","4","8078","186","181.9","190"
"Avoidable mortality","Female","2003","5","7122","164.5","160.69999999999999","168.3"
"Avoidable mortality","Female","2004","1","12415","360.3","353.9","366.7"
"Avoidable mortality","Female","2004","2","10056","267.60000000000002","262.3","272.8"
"Avoidable mortality","Female","2004","3","8682","208.3","203.9","212.6"
"Avoidable mortality","Female","2004","4","7926","180.9","176.9","184.9"
"Avoidable mortality","Female","2004","5","6611","150.6","147","154.30000000000001"
"Avoidable mortality","Female","2005","1","11869","346.5","340.2","352.8"
"Avoidable mortality","Female","2005","2","9880","262.89999999999998","257.7","268.10000000000002"
"Avoidable mortality","Female","2005","3","8695","207","202.6","211.3"
"Avoidable mortality","Female","2005","4","7712","173.8","169.9","177.7"
"Avoidable mortality","Female","2005","5","6557","147.1","143.6","150.69999999999999"
"Avoidable mortality","Female","2006","1","11575","340.2","334","346.5"
"Avoidable mortality","Female","2006","2","9411","250.1","245","255.2"
"Avoidable mortality","Female","2006","3","8486","200.6","196.4","204.9"
"Avoidable mortality","Female","2006","4","7668","171.2","167.3","175"
"Avoidable mortality","Female","2006","5","6552","145.80000000000001","142.19999999999999","149.4"
"Avoidable mortality","Female","2007","1","11622","338.6","332.4","344.9"
"Avoidable mortality","Female","2007","2","9156","241.6","236.6","246.6"
"Avoidable mortality","Female","2007","3","8353","193.7","189.5","197.9"
"Avoidable mortality","Female","2007","4","7525","164.5","160.69999999999999","168.2"
"Avoidable mortality","Female","2007","5","6322","140","136.5","143.4"
"Avoidable mortality","Female","2008","1","11772","339.7","333.5","345.9"
"Avoidable mortality","Female","2008","2","9394","244.3","239.3","249.3"
"Avoidable mortality","Female","2008","3","8316","189.7","185.6","193.8"
"Avoidable mortality","Female","2008","4","7430","159.6","156","163.19999999999999"
"Avoidable mortality","Female","2008","5","6346","137.1","133.69999999999999","140.5"
"Avoidable mortality","Female","2009","1","10944","312.89999999999998","307","318.89999999999998"
"Avoidable mortality","Female","2009","2","9173","235.6","230.8","240.5"
"Avoidable mortality","Female","2009","3","7989","179.5","175.5","183.4"
"Avoidable mortality","Female","2009","4","7302","153.19999999999999","149.69999999999999","156.69999999999999"
"Avoidable mortality","Female","2009","5","6100","129","125.8","132.30000000000001"
"Avoidable mortality","Female","2010","1","10917","311.10000000000002","305.2","317"
"Avoidable mortality","Female","2010","2","8946","227.5","222.7","232.2"
"Avoidable mortality","Female","2010","3","8041","177.5","173.6","181.4"
"Avoidable mortality","Female","2010","4","7231","149.69999999999999","146.30000000000001","153.19999999999999"
"Avoidable mortality","Female","2010","5","6132","127.9","124.6","131.1"
"Avoidable mortality","Female","2011","1","10850","302.5","296.8","308.3"
"Avoidable mortality","Female","2011","2","8868","221.5","216.8","226.1"
"Avoidable mortality","Female","2011","3","7824","171.2","167.4","175"
"Avoidable mortality","Female","2011","4","7056","146.5","143.1","149.9"
"Avoidable mortality","Female","2011","5","5864","119.8","116.7","122.9"
"Avoidable mortality","Female","2012","1","10773","299.5","293.8","305.2"
"Avoidable mortality","Female","2012","2","8700","213.8","209.3","218.4"
"Avoidable mortality","Female","2012","3","7929","170","166.3","173.8"
"Avoidable mortality","Female","2012","4","7069","144.1","140.69999999999999","147.5"
"Avoidable mortality","Female","2012","5","5895","117.9","114.9","121"
"Avoidable mortality","Female","2013","1","10900","298.39999999999998","292.8","304.10000000000002"
"Avoidable mortality","Female","2013","2","8860","214.3","209.8","218.8"
"Avoidable mortality","Female","2013","3","7937","167.1","163.4","170.8"
"Avoidable mortality","Female","2013","4","6915","137.69999999999999","134.5","141"
"Avoidable mortality","Female","2013","5","5954","117.3","114.3","120.2"
"Avoidable mortality","Female","2014","1","11149","300.39999999999998","294.8","306.10000000000002"
"Avoidable mortality","Female","2014","2","8958","212.5","208.1","216.9"
"Avoidable mortality","Female","2014","3","7899","163.1","159.5","166.8"
"Avoidable mortality","Female","2014","4","7243","141.69999999999999","138.5","145"
"Avoidable mortality","Female","2014","5","5997","115.8","112.9","118.8"
"Avoidable mortality","Female","2015","1","11567","307.5","301.89999999999998","313.2"
"Avoidable mortality","Female","2015","2","9013","210.3","206","214.7"
"Avoidable mortality","Female","2015","3","8327","168.7","165.1","172.3"
"Avoidable mortality","Female","2015","4","7150","137.6","134.4","140.80000000000001"
"Avoidable mortality","Female","2015","5","6014","113.7","110.8","116.6"
"Avoidable mortality","Female","2016","1","11981","308","302.39999999999998","313.60000000000002"
"Avoidable mortality","Female","2016","2","9473","214.1","209.7","218.4"
"Avoidable mortality","Female","2016","3","8193","163.5","160","167.1"
"Avoidable mortality","Female","2016","4","7468","141.1","137.9","144.30000000000001"
"Avoidable mortality","Female","2016","5","5994","111.8","108.9","114.6"
"Avoidable mortality","Female","2017","1","11843","299.39999999999998","294","304.89999999999998"
"Avoidable mortality","Female","2017","2","9375","207","202.8","211.2"
"Avoidable mortality","Female","2017","3","8170","159.4","155.9","162.80000000000001"
"Avoidable mortality","Female","2017","4","7189","132.6","129.6","135.69999999999999"
"Avoidable mortality","Female","2017","5","6084","110.8","108","113.6"
"Avoidable mortality","Female","2018","1","12172","302.10000000000002","296.7","307.5"
"Avoidable mortality","Female","2018","2","9650","210","205.8","214.2"
"Avoidable mortality","Female","2018","3","8282","159.30000000000001","155.80000000000001","162.69999999999999"
"Avoidable mortality","Female","2018","4","7333","133.69999999999999","130.6","136.80000000000001"
"Avoidable mortality","Female","2018","5","6167","111","108.2","113.8"
"Avoidable mortality","Female","2019","1","12225","298.8","293.39999999999998","304.10000000000002"
"Avoidable mortality","Female","2019","2","9491","203.4","199.3","207.5"
"Avoidable mortality","Female","2019","3","8298","157.69999999999999","154.30000000000001","161.1"
"Avoidable mortality","Female","2019","4","7087","128.30000000000001","125.3","131.30000000000001"
"Avoidable mortality","Female","2019","5","5956","106.6","103.9","109.3"
"Avoidable mortality","Female","2020","1","14324","345.8","340.1","351.5"
"Avoidable mortality","Female","2020","2","10706","227","222.7","231.3"
"Avoidable mortality","Female","2020","3","9179","173","169.4","176.5"
"Avoidable mortality","Female","2020","4","8145","146.4","143.19999999999999","149.6"
"Avoidable mortality","Female","2020","5","6580","116.6","113.8","119.5"
"Avoidable mortality","Female","2020 (excluding COVID-19)","1","12340","296.7","291.39999999999998","301.89999999999998"
"Avoidable mortality","Female","2020 (excluding COVID-19)","2","9268","196.3","192.3","200.3"
"Avoidable mortality","Female","2020 (excluding COVID-19)","3","8081","152.4","149.1","155.80000000000001"
"Avoidable mortality","Female","2020 (excluding COVID-19)","4","7268","130.9","127.9","133.9"
"Avoidable mortality","Female","2020 (excluding COVID-19)","5","5946","105.6","102.9","108.3"
"Treatable mortality","Male","2001","1","8072.5","254.8","249.2","260.39999999999998"
"Treatable mortality","Male","2001","2","6073","183.8","179.1","188.4"
"Treatable mortality","Male","2001","3","5444.5","149.30000000000001","145.30000000000001","153.19999999999999"
"Treatable mortality","Male","2001","4","5016.5","129.69999999999999","126.1","133.30000000000001"
"Treatable mortality","Male","2001","5","4158","107.8","104.5","111.1"
"Treatable mortality","Male","2002","1","7833.5","249","243.5","254.6"
"Treatable mortality","Male","2002","2","5795.5","173.8","169.3","178.3"
"Treatable mortality","Male","2002","3","5351.5","144.4","140.5","148.30000000000001"
"Treatable mortality","Male","2002","4","4833","122.7","119.2","126.2"
"Treatable mortality","Male","2002","5","4179.5","106.4","103.1","109.6"
"Treatable mortality","Male","2003","1","7641.5","242.4","236.9","247.9"
"Treatable mortality","Male","2003","2","5820.5","173.8","169.3","178.3"
"Treatable mortality","Male","2003","3","5139","136.80000000000001","133","140.6"
"Treatable mortality","Male","2003","4","4701","117.6","114.2","121"
"Treatable mortality","Male","2003","5","4042","101","97.9","104.1"
"Treatable mortality","Male","2004","1","7112","227.3","222","232.7"
"Treatable mortality","Male","2004","2","5584.5","165.1","160.69999999999999","169.4"
"Treatable mortality","Male","2004","3","5003.5","130.9","127.3","134.6"
"Treatable mortality","Male","2004","4","4447","109.5","106.3","112.8"
"Treatable mortality","Male","2004","5","3707.5","91.5","88.5","94.5"
"Treatable mortality","Male","2005","1","6815.5","216.3","211.1","221.5"
"Treatable mortality","Male","2005","2","5305.5","155.69999999999999","151.4","159.9"
"Treatable mortality","Male","2005","3","4841.5","125.3","121.7","128.80000000000001"
"Treatable mortality","Male","2005","4","4254","103.4","100.2","106.5"
"Treatable mortality","Male","2005","5","3533.5","85.6","82.7","88.4"
"Treatable mortality","Male","2006","1","6448","205.5","200.4","210.6"
"Treatable mortality","Male","2006","2","5169","150.30000000000001","146.1","154.4"
"Treatable mortality","Male","2006","3","4572","116.6","113.2","120"
"Treatable mortality","Male","2006","4","4058","97.1","94.1","100.1"
"Treatable mortality","Male","2006","5","3471","82.7","80","85.5"
"Treatable mortality","Male","2007","1","6350","198.5","193.5","203.5"
"Treatable mortality","Male","2007","2","4885.5","140.6","136.6","144.5"
"Treatable mortality","Male","2007","3","4469","111.3","108.1","114.6"
"Treatable mortality","Male","2007","4","3918","91.5","88.6","94.4"
"Treatable mortality","Male","2007","5","3279.5","77.900000000000006","75.2","80.599999999999994"
"Treatable mortality","Male","2008","1","6234","192.1","187.3","197"
"Treatable mortality","Male","2008","2","4789","134.5","130.6","138.30000000000001"
"Treatable mortality","Male","2008","3","4344","106.1","103","109.3"
"Treatable mortality","Male","2008","4","3903.5","89","86.1","91.8"
"Treatable mortality","Male","2008","5","3263","75.900000000000006","73.3","78.5"
"Treatable mortality","Male","2009","1","5989","182.3","177.6","187"
"Treatable mortality","Male","2009","2","4736","131.19999999999999","127.4","134.9"
"Treatable mortality","Male","2009","3","4239","101.5","98.4","104.5"
"Treatable mortality","Male","2009","4","3746.5","83.6","80.900000000000006","86.3"
"Treatable mortality","Male","2009","5","3127.5","70.8","68.3","73.3"
"Treatable mortality","Male","2010","1","5793","175","170.4","179.6"
"Treatable mortality","Male","2010","2","4649","127","123.3","130.69999999999999"
"Treatable mortality","Male","2010","3","4194.5","98.8","95.8","101.8"
"Treatable mortality","Male","2010","4","3711","81.3","78.7","83.9"
"Treatable mortality","Male","2010","5","3120","69.3","66.900000000000006","71.8"
"Treatable mortality","Male","2011","1","5573.5","164.6","160.1","169"
"Treatable mortality","Male","2011","2","4302.5","114.1","110.7","117.6"
"Treatable mortality","Male","2011","3","3833","89.1","86.2","91.9"
"Treatable mortality","Male","2011","4","3518","77.7","75.099999999999994","80.3"
"Treatable mortality","Male","2011","5","2876.5","63.1","60.8","65.400000000000006"
"Treatable mortality","Male","2012","1","5415.5","157.30000000000001","153.1","161.6"
"Treatable mortality","Male","2012","2","4257.5","111.7","108.3","115.1"
"Treatable mortality","Male","2012","3","3920.5","88.9","86.1","91.7"
"Treatable mortality","Male","2012","4","3403","73.7","71.2","76.2"
"Treatable mortality","Male","2012","5","2712","58.5","56.2","60.7"
"Treatable mortality","Male","2013","1","5331","153.5","149.30000000000001","157.69999999999999"
"Treatable mortality","Male","2013","2","4315","110.3","106.9","113.6"
"Treatable mortality","Male","2013","3","3921","87.7","84.9","90.4"
"Treatable mortality","Male","2013","4","3366","71.3","68.900000000000006","73.7"
"Treatable mortality","Male","2013","5","2849.5","59.8","57.6","62.1"
"Treatable mortality","Male","2014","1","5491","155","150.80000000000001","159.19999999999999"
"Treatable mortality","Male","2014","2","4372","109.6","106.3","112.9"
"Treatable mortality","Male","2014","3","3846.5","83.9","81.2","86.5"
"Treatable mortality","Male","2014","4","3359.5","69.7","67.3","72.099999999999994"
"Treatable mortality","Male","2014","5","2872.5","59.1","56.9","61.3"
"Treatable mortality","Male","2015","1","5647","156","151.80000000000001","160.19999999999999"
"Treatable mortality","Male","2015","2","4536","111.4","108.1","114.7"
"Treatable mortality","Male","2015","3","4001","85.6","82.9","88.3"
"Treatable mortality","Male","2015","4","3486","70.900000000000006","68.5","73.2"
"Treatable mortality","Male","2015","5","2897","58.4","56.3","60.5"
"Treatable mortality","Male","2016","1","5798","155.19999999999999","151.1","159.19999999999999"
"Treatable mortality","Male","2016","2","4688","111.5","108.3","114.7"
"Treatable mortality","Male","2016","3","3965","83.2","80.599999999999994","85.8"
"Treatable mortality","Male","2016","4","3473","69.3","67","71.599999999999994"
"Treatable mortality","Male","2016","5","2901","57.5","55.4","59.6"
"Treatable mortality","Male","2017","1","5955","155.4","151.4","159.4"
"Treatable mortality","Male","2017","2","4679","108.5","105.4","111.6"
"Treatable mortality","Male","2017","3","3963.5","81.3","78.7","83.8"
"Treatable mortality","Male","2017","4","3613.5","70.5","68.2","72.8"
"Treatable mortality","Male","2017","5","2869","55.5","53.5","57.6"
"Treatable mortality","Male","2018","1","5950.5","152.9","148.9","156.80000000000001"
"Treatable mortality","Male","2018","2","4790","109","105.9","112.1"
"Treatable mortality","Male","2018","3","4118","83.3","80.7","85.8"
"Treatable mortality","Male","2018","4","3523","67.8","65.599999999999994","70.099999999999994"
"Treatable mortality","Male","2018","5","2998","57.5","55.5","59.6"
"Treatable mortality","Male","2019","1","5851","147.9","144.1","151.69999999999999"
"Treatable mortality","Male","2019","2","4571.5","103","100","106"
"Treatable mortality","Male","2019","3","3977","79.7","77.2","82.1"
"Treatable mortality","Male","2019","4","3494.5","66.900000000000006","64.599999999999994","69.099999999999994"
"Treatable mortality","Male","2019","5","2884.5","55.1","53","57.1"
"Treatable mortality","Male","2020","1","6201.5","154.30000000000001","150.4","158.1"
"Treatable mortality","Male","2020","2","4745.5","105.4","102.4","108.4"
"Treatable mortality","Male","2020","3","4132","82","79.5","84.5"
"Treatable mortality","Male","2020","4","3557.5","67.7","65.5","69.900000000000006"
"Treatable mortality","Male","2020","5","2952.5","56.2","54.1","58.2"
"Treatable mortality","Female","2001","1","6112.5","174","169.6","178.4"
"Treatable mortality","Female","2001","2","5043","135","131.19999999999999","138.69999999999999"
"Treatable mortality","Female","2001","3","4795.5","118.5","115.2","121.9"
"Treatable mortality","Female","2001","4","4277.5","101.1","98.1","104.1"
"Treatable mortality","Female","2001","5","3971","94.7","91.7","97.6"
"Treatable mortality","Female","2002","1","5819","167.2","162.9","171.6"
"Treatable mortality","Female","2002","2","4908","131.69999999999999","128","135.4"
"Treatable mortality","Female","2002","3","4592","112.7","109.4","116"
"Treatable mortality","Female","2002","4","4365.5","101.9","98.9","104.9"
"Treatable mortality","Female","2002","5","3801.5","88.7","85.9","91.5"
"Treatable mortality","Female","2003","1","5627","163","158.69999999999999","167.3"
"Treatable mortality","Female","2003","2","4888.5","130.69999999999999","127","134.4"
"Treatable mortality","Female","2003","3","4456","108.2","105","111.4"
"Treatable mortality","Female","2003","4","4123","94.7","91.8","97.6"
"Treatable mortality","Female","2003","5","3887.5","89.4","86.6","92.3"
"Treatable mortality","Female","2004","1","5333","155","150.80000000000001","159.19999999999999"
"Treatable mortality","Female","2004","2","4720.5","125.9","122.3","129.5"
"Treatable mortality","Female","2004","3","4251.5","102.1","99","105.2"
"Treatable mortality","Female","2004","4","4076","93","90.1","95.8"
"Treatable mortality","Female","2004","5","3555.5","80.7","78","83.3"
"Treatable mortality","Female","2005","1","5060","148.1","144","152.19999999999999"
"Treatable mortality","Female","2005","2","4609.5","122.9","119.4","126.5"
"Treatable mortality","Female","2005","3","4244.5","101","98","104.1"
"Treatable mortality","Female","2005","4","3942.5","88.6","85.8","91.4"
"Treatable mortality","Female","2005","5","3486","77.8","75.2","80.400000000000006"
"Treatable mortality","Female","2006","1","4845.5","142.9","138.80000000000001","147"
"Treatable mortality","Female","2006","2","4309","114.7","111.2","118.1"
"Treatable mortality","Female","2006","3","4034.5","95.4","92.4","98.3"
"Treatable mortality","Female","2006","4","3897","86.8","84","89.5"
"Treatable mortality","Female","2006","5","3467.5","77","74.400000000000006","79.5"
"Treatable mortality","Female","2007","1","4738","137.9","133.9","141.80000000000001"
"Treatable mortality","Female","2007","2","4147","109.3","106","112.7"
"Treatable mortality","Female","2007","3","4013.5","93","90.1","95.9"
"Treatable mortality","Female","2007","4","3706","80.900000000000006","78.3","83.6"
"Treatable mortality","Female","2007","5","3382","74.5","72","77.099999999999994"
"Treatable mortality","Female","2008","1","4796.5","138","134","141.9"
"Treatable mortality","Female","2008","2","4195","109.4","106","112.7"
"Treatable mortality","Female","2008","3","3973.5","90.7","87.9","93.5"
"Treatable mortality","Female","2008","4","3629","77.8","75.3","80.400000000000006"
"Treatable mortality","Female","2008","5","3269.5","70.3","67.900000000000006","72.8"
"Treatable mortality","Female","2009","1","4420.5","126.3","122.5","130"
"Treatable mortality","Female","2009","2","4116","105.7","102.4","108.9"
"Treatable mortality","Female","2009","3","3789.5","85.1","82.4","87.8"
"Treatable mortality","Female","2009","4","3579","75.099999999999994","72.599999999999994","77.599999999999994"
"Treatable mortality","Female","2009","5","3175","66.900000000000006","64.599999999999994","69.3"
"Treatable mortality","Female","2010","1","4349.5","123.6","119.9","127.3"
"Treatable mortality","Female","2010","2","3877","98.5","95.4","101.7"
"Treatable mortality","Female","2010","3","3769","83.2","80.5","85.8"
"Treatable mortality","Female","2010","4","3490","72.3","69.900000000000006","74.7"
"Treatable mortality","Female","2010","5","3111","64.599999999999994","62.3","66.900000000000006"
"Treatable mortality","Female","2011","1","4257.5","118.4","114.8","122"
"Treatable mortality","Female","2011","2","3694","92.3","89.3","95.3"
"Treatable mortality","Female","2011","3","3617","79.099999999999994","76.5","81.7"
"Treatable mortality","Female","2011","4","3403.5","70.599999999999994","68.2","73"
"Treatable mortality","Female","2011","5","2899.5","59","56.8","61.1"
"Treatable mortality","Female","2012","1","4187","115.8","112.2","119.3"
"Treatable mortality","Female","2012","2","3816","93.8","90.8","96.8"
"Treatable mortality","Female","2012","3","3599","77.099999999999994","74.599999999999994","79.599999999999994"
"Treatable mortality","Female","2012","4","3397.5","69.2","66.900000000000006","71.599999999999994"
"Treatable mortality","Female","2012","5","2970.5","59.4","57.3","61.6"
"Treatable mortality","Female","2013","1","4295","117.1","113.5","120.7"
"Treatable mortality","Female","2013","2","3772","91.1","88.1","94"
"Treatable mortality","Female","2013","3","3581","75.400000000000006","73","77.900000000000006"
"Treatable mortality","Female","2013","4","3287.5","65.400000000000006","63.2","67.7"
"Treatable mortality","Female","2013","5","2923.5","57.4","55.3","59.5"
"Treatable mortality","Female","2014","1","4286","114.8","111.3","118.3"
"Treatable mortality","Female","2014","2","3737","88.6","85.7","91.5"
"Treatable mortality","Female","2014","3","3568.5","73.8","71.400000000000006","76.2"
"Treatable mortality","Female","2014","4","3407","66.7","64.400000000000006","68.900000000000006"
"Treatable mortality","Female","2014","5","2939","56.7","54.7","58.8"
"Treatable mortality","Female","2015","1","4428.5","117.3","113.8","120.8"
"Treatable mortality","Female","2015","2","3814","89.1","86.3","91.9"
"Treatable mortality","Female","2015","3","3726","75.400000000000006","73","77.900000000000006"
"Treatable mortality","Female","2015","4","3319.5","63.9","61.8","66.099999999999994"
"Treatable mortality","Female","2015","5","3019","57","55","59.1"
"Treatable mortality","Female","2016","1","4676.5","119.6","116.1","123"
"Treatable mortality","Female","2016","2","4015","90.6","87.8","93.4"
"Treatable mortality","Female","2016","3","3777","75.400000000000006","73","77.8"
"Treatable mortality","Female","2016","4","3462","65.5","63.3","67.7"
"Treatable mortality","Female","2016","5","3006","56.1","54.1","58.1"
"Treatable mortality","Female","2017","1","4542","114.3","111","117.7"
"Treatable mortality","Female","2017","2","3992.5","88","85.3","90.8"
