"Measure","Year","Sex","SII","SII lower CI","SII upper CI","Absolute inequality [note 14]"
"Treatable mortality","2008","Female","84.3","79.3","89.3","77.600000000000009"
"Treatable mortality","2009","Male","138","132.1","143.80000000000001","138.60000000000002"
"Treatable mortality","2009","Female","75.099999999999994","70.2","79.900000000000006","69.700000000000017"
"Treatable mortality","2010","Male","130.4","124.7","136","125.5"
"Treatable mortality","2010","Female","73.3","68.599999999999994","78.2","72.099999999999994"
"Treatable mortality","2011","Male","121.6","116.1","127","125.1"
"Treatable mortality","2011","Female","71.2","66.599999999999994","75.7","68.900000000000006"
"Treatable mortality","2012","Male","119.7","114.6","125","120.20000000000002"
"Treatable mortality","2012","Female","69.599999999999994","65.099999999999994","74.2","66.599999999999994"
"Treatable mortality","2013","Male","113.8","108.7","118.9","109.39999999999999"
"Treatable mortality","2013","Female","73.400000000000006","68.8","77.8","72"
"Treatable mortality","2014","Male","118.2","113.1","123.3","116.4"
"Treatable mortality","2014","Female","70.3","65.900000000000006","74.7","72.599999999999994"
"Treatable mortality","2015","Male","120.3","115.3","125.5","118.1"
"Treatable mortality","2015","Female","73.900000000000006","69.400000000000006","78.3","72.100000000000009"
"Treatable mortality","2016","Male","121.4","116.4","126.4","121.80000000000001"
"Treatable mortality","2016","Female","77.3","72.900000000000006","81.7","79.300000000000011"
"Treatable mortality","2017","Male","120.2","115.4","125.2","118.6"
"Treatable mortality","2017","Female","73.3","69.099999999999994","77.5","75.7"
"Treatable mortality","2018","Male","117","112.1","121.7","115.6"
"Treatable mortality","2018","Female","76.2","71.8","80.400000000000006","77.100000000000009"
"Treatable mortality","2019","Male","112.8","108.2","117.6","112.5"
"Treatable mortality","2019","Female","72.599999999999994","68.5","76.7","73.099999999999994"
"Treatable mortality","2020","Male","119.5","114.7","124.2","122.20000000000002"
"Treatable mortality","2020","Female","73.400000000000006","69.2","77.599999999999994","76.800000000000011"
