"Measure","Sex","Year","Decile","Rate","Lower CI","Upper CI","Deaths"
"Avoidable mortality","Male","2013","6","294.60000000000002","266.89999999999998","322.3","440"
"Avoidable mortality","Male","2013","7","268.8","242.1","295.5","395"
"Avoidable mortality","Male","2013","8","244","218.6","269.39999999999998","359"
"Avoidable mortality","Male","2013","9","254.3","228.5","280.10000000000002","379"
"Avoidable mortality","Male","2013","10","204.9","180.7","229","281"
"Avoidable mortality","Male","2014","1","572.29999999999995","526.29999999999995","618.4","607"
"Avoidable mortality","Male","2014","2","450.2","411.9","488.6","536"
"Avoidable mortality","Male","2014","3","389.1","354.7","423.4","497"
"Avoidable mortality","Male","2014","4","379.3","346.4","412.1","515"
"Avoidable mortality","Male","2014","5","324.5","294.5","354.5","453"
"Avoidable mortality","Male","2014","6","274.5","248.2","300.89999999999998","421"
"Avoidable mortality","Male","2014","7","252","226.5","277.5","380"
"Avoidable mortality","Male","2014","8","233.7","209.1","258.2","351"
"Avoidable mortality","Male","2014","9","221","197.5","244.6","342"
"Avoidable mortality","Male","2014","10","172","150.19999999999999","193.8","242"
"Avoidable mortality","Male","2015","1","586.20000000000005","539.79999999999995","632.70000000000005","627"
"Avoidable mortality","Male","2015","2","474.9","435.9","514","575"
"Avoidable mortality","Male","2015","3","398","363.5","432.5","515"
"Avoidable mortality","Male","2015","4","367.9","335.5","400.4","497"
"Avoidable mortality","Male","2015","5","377.5","344.8","410.2","518"
"Avoidable mortality","Male","2015","6","302.39999999999998","274.60000000000002","330.1","463"
"Avoidable mortality","Male","2015","7","257.2","231.9","282.39999999999998","405"
"Avoidable mortality","Male","2015","8","247.8","222.5","273","374"
"Avoidable mortality","Male","2015","9","214.6","191.2","238.1","325"
"Avoidable mortality","Male","2015","10","191.1","168.4","213.7","277"
"Avoidable mortality","Male","2016","1","580.20000000000005","534.5","625.79999999999995","635"
"Avoidable mortality","Male","2016","2","502","462.2","541.79999999999995","619"
"Avoidable mortality","Male","2016","3","427","391.4","462.6","557"
"Avoidable mortality","Male","2016","4","390","356.7","423.4","529"
"Avoidable mortality","Male","2016","5","314.39999999999998","285","343.9","443"
"Avoidable mortality","Male","2016","6","304.8","277.10000000000002","332.5","472"
"Avoidable mortality","Male","2016","7","290.89999999999998","264.10000000000002","317.60000000000002","460"
"Avoidable mortality","Male","2016","8","259","233.6","284.5","403"
"Avoidable mortality","Male","2016","9","227.7","203.7","251.8","349"
"Avoidable mortality","Male","2016","10","190.3","167.8","212.8","279"
"Avoidable mortality","Male","2017","1","602.4","555.9","649","656"
"Avoidable mortality","Male","2017","2","502.2","462.7","541.70000000000005","625"
"Avoidable mortality","Male","2017","3","391.6","357.8","425.3","518"
"Avoidable mortality","Male","2017","4","356.1","324.60000000000002","387.7","491"
"Avoidable mortality","Male","2017","5","328.2","298.3","358.2","467"
"Avoidable mortality","Male","2017","6","299.8","272.7","326.89999999999998","477"
"Avoidable mortality","Male","2017","7","280.10000000000002","254.1","306.10000000000002","453"
"Avoidable mortality","Male","2017","8","248.4","223.6","273.2","391"
"Avoidable mortality","Male","2017","9","219","195.7","242.4","342"
"Avoidable mortality","Male","2017","10","160.9","140.5","181.3","243"
"Avoidable mortality","Male","2018","1","644.1","596.70000000000005","691.4","721"
"Avoidable mortality","Male","2018","2","473.3","435.3","511.4","599"
"Avoidable mortality","Male","2018","3","446.8","410.7","482.8","593"
"Avoidable mortality","Male","2018","4","333.1","302.89999999999998","363.3","468"
"Avoidable mortality","Male","2018","5","318.5","289.10000000000002","347.9","456"
"Avoidable mortality","Male","2018","6","281.60000000000002","255.4","307.8","451"
"Avoidable mortality","Male","2018","7","262.2","237.3","287.10000000000002","432"
"Avoidable mortality","Male","2018","8","254.7","229.5","279.89999999999998","400"
"Avoidable mortality","Male","2018","9","206.7","184.2","229.3","327"
"Avoidable mortality","Male","2018","10","176.3","155","197.5","268"
"Avoidable mortality","Male","2019","1","566.1","522.1","610","645"
"Avoidable mortality","Male","2019","2","487.4","449","525.9","620"
"Avoidable mortality","Male","2019","3","424.5","389.6","459.5","569"
"Avoidable mortality","Male","2019","4","360.3","328.8","391.7","507"
"Avoidable mortality","Male","2019","5","310.7","282","339.3","458"
"Avoidable mortality","Male","2019","6","271.10000000000002","245.4","296.8","435"
"Avoidable mortality","Male","2019","7","268","242.8","293.3","442"
"Avoidable mortality","Male","2019","8","250","225.3","274.7","402"
"Avoidable mortality","Male","2019","9","206.6","184.2","229","332"
"Avoidable mortality","Male","2019","10","178.1","156.6","199.6","269"
"Avoidable mortality","Male","2020","1","636.1","589.5","682.7","723"
"Avoidable mortality","Male","2020","2","533","492.9","573.1","682"
"Avoidable mortality","Male","2020","3","474.7","437.9","511.5","642"
"Avoidable mortality","Male","2020","4","394.4","361.6","427.2","558"
"Avoidable mortality","Male","2020","5","356.7","325.89999999999998","387.5","522"
"Avoidable mortality","Male","2020","6","304.3","277.10000000000002","331.4","491"
"Avoidable mortality","Male","2020","7","259.8","235.1","284.5","434"
"Avoidable mortality","Male","2020","8","264.60000000000002","239.4","289.89999999999998","429"
"Avoidable mortality","Male","2020","9","213.8","190.9","236.7","340"
"Avoidable mortality","Male","2020","10","197.5","175","220","302"
"Avoidable mortality","Male","2020 (excluding COVID-19)","1","538.6","495.9","581.4","616"
"Avoidable mortality","Male","2020 (excluding COVID-19)","2","446.7","410.1","483.4","573"
"Avoidable mortality","Male","2020 (excluding COVID-19)","3","400.5","366.6","434.3","541"
"Avoidable mortality","Male","2020 (excluding COVID-19)","4","340.4","309.89999999999998","370.9","481"
"Avoidable mortality","Male","2020 (excluding COVID-19)","5","318.3","289.2","347.5","464"
"Avoidable mortality","Male","2020 (excluding COVID-19)","6","277.60000000000002","251.6","303.60000000000002","446"
"Avoidable mortality","Male","2020 (excluding COVID-19)","7","234.8","211.2","258.39999999999998","389"
"Avoidable mortality","Male","2020 (excluding COVID-19)","8","229.1","205.5","252.7","368"
"Avoidable mortality","Male","2020 (excluding COVID-19)","9","181.2","160.1","202.4","287"
"Avoidable mortality","Male","2020 (excluding COVID-19)","10","164.8","144.19999999999999","185.5","250"
"Treatable mortality","Male","2001","1","236.5","206.1","267","234"
"Treatable mortality","Male","2001","2","222.4","194.1","250.8","237.5"
"Treatable mortality","Male","2001","3","210.1","182.4","237.8","222"
"Treatable mortality","Male","2001","4","206.3","178.9","233.7","219"
"Treatable mortality","Male","2001","5","178.3","153.30000000000001","203.3","196"
"Treatable mortality","Male","2001","6","160.1","137.6","182.6","195.5"
"Treatable mortality","Male","2001","7","138.6","117.6","159.5","169.5"
"Treatable mortality","Male","2001","8","147.5","125.4","169.5","173.5"
"Treatable mortality","Male","2001","9","128.9","108.4","149.5","153"
"Treatable mortality","Male","2001","10","124.6","104.1","145.19999999999999","142.5"
"Treatable mortality","Male","2002","1","254.1","222.7","285.5","254"
"Treatable mortality","Male","2002","2","218.6","190.3","246.8","231"
"Treatable mortality","Male","2002","3","220.4","192.2","248.6","237"
"Treatable mortality","Male","2002","4","184.9","159.19999999999999","210.5","201"
"Treatable mortality","Male","2002","5","183.9","158.69999999999999","209.1","205.5"
"Treatable mortality","Male","2002","6","169.4","146.4","192.3","211"
"Treatable mortality","Male","2002","7","148.69999999999999","127.2","170.3","184.5"
"Treatable mortality","Male","2002","8","129.6","109.2","150","156"
"Treatable mortality","Male","2002","9","132.4","111.8","152.9","160.5"
"Treatable mortality","Male","2002","10","97.9","79.7","116.2","112"
"Treatable mortality","Male","2003","1","263.2","231","295.39999999999998","260"
"Treatable mortality","Male","2003","2","236.8","207.4","266.2","251"
"Treatable mortality","Male","2003","3","183.1","157.80000000000001","208.4","203"
"Treatable mortality","Male","2003","4","198.3","171.7","224.8","216.5"
"Treatable mortality","Male","2003","5","171.8","147.69999999999999","195.9","196"
"Treatable mortality","Male","2003","6","124","104.6","143.4","158.5"
"Treatable mortality","Male","2003","7","139.19999999999999","118.6","159.80000000000001","177"
"Treatable mortality","Male","2003","8","131.69999999999999","111.1","152.19999999999999","159"
"Treatable mortality","Male","2003","9","130.19999999999999","110","150.5","160.5"
"Treatable mortality","Male","2003","10","104.4","85.9","122.9","123"
"Treatable mortality","Male","2004","1","213.2","184.5","242","213"
"Treatable mortality","Male","2004","2","205.1","177.8","232.3","220"
"Treatable mortality","Male","2004","3","186.7","160.80000000000001","212.6","202"
"Treatable mortality","Male","2004","4","184.4","159.1","209.7","206.5"
"Treatable mortality","Male","2004","5","152.4","129.80000000000001","175","176"
"Treatable mortality","Male","2004","6","134.1","114.1","154.1","174.5"
"Treatable mortality","Male","2004","7","124.4","105.2","143.69999999999999","162"
"Treatable mortality","Male","2004","8","130.6","110.3","150.9","161"
"Treatable mortality","Male","2004","9","101.5","83.8","119.1","128.5"
"Treatable mortality","Male","2004","10","106.3","87.7","124.9","126.5"
"Treatable mortality","Male","2005","1","239.7","209.1","270.39999999999998","238.5"
"Treatable mortality","Male","2005","2","184.8","159.1","210.5","200"
"Treatable mortality","Male","2005","3","181.6","156.19999999999999","206.9","200"
"Treatable mortality","Male","2005","4","172","146.9","197.2","182"
"Treatable mortality","Male","2005","5","149.69999999999999","128.19999999999999","171.2","188"
"Treatable mortality","Male","2005","6","151.69999999999999","130.69999999999999","172.6","203"
"Treatable mortality","Male","2005","7","115.5","97","134","151"
"Treatable mortality","Male","2005","8","111.3","93","129.69999999999999","143.5"
"Treatable mortality","Male","2005","9","104","85.6","122.4","125"
"Treatable mortality","Male","2005","10","99.4","81.7","117.1","122.5"
"Treatable mortality","Male","2006","1","219.6","190.5","248.8","222"
"Treatable mortality","Male","2006","2","186.6","160.9","212.4","204"
"Treatable mortality","Male","2006","3","182.8","157.5","208.2","202.5"
"Treatable mortality","Male","2006","4","149.4","126.1","172.7","160.5"
"Treatable mortality","Male","2006","5","131.6","111.6","151.69999999999999","167"
"Treatable mortality","Male","2006","6","127.2","108.1","146.30000000000001","172"
"Treatable mortality","Male","2006","7","116.5","98.1","135","155"
"Treatable mortality","Male","2006","8","114.9","96.5","133.30000000000001","150.5"
"Treatable mortality","Male","2006","9","78.2","63.3","95.6","96.5"
"Treatable mortality","Male","2006","10","88.6","72","105.2","110.5"
"Treatable mortality","Male","2007","1","218.5","189.5","247.5","222"
"Treatable mortality","Male","2007","2","190.7","165","216.3","214.5"
"Treatable mortality","Male","2007","3","170","146.1","194","197"
"Treatable mortality","Male","2007","4","145.80000000000001","123.1","168.5","161"
"Treatable mortality","Male","2007","5","136.6","116.5","156.69999999999999","179"
"Treatable mortality","Male","2007","6","107.8","90.3","125.3","147"
"Treatable mortality","Male","2007","7","100.8","83.9","117.7","138"
"Treatable mortality","Male","2007","8","100.8","83.8","117.8","137"
"Treatable mortality","Male","2007","9","99.1","81.5","116.6","124.5"
"Treatable mortality","Male","2007","10","90","73.400000000000006","106.7","113.5"
"Treatable mortality","Male","2008","1","182.1","155.5","208.7","183"
"Treatable mortality","Male","2008","2","168.2","144.19999999999999","192.2","191.5"
"Treatable mortality","Male","2008","3","152.9","130.4","175.4","179.5"
"Treatable mortality","Male","2008","4","142.1","119.9","164.2","160"
"Treatable mortality","Male","2008","5","132.1","112.4","151.69999999999999","175"
"Treatable mortality","Male","2008","6","128.30000000000001","109.2","147.4","174.5"
"Treatable mortality","Male","2008","7","94.5","78.2","110.8","131"
"Treatable mortality","Male","2008","8","91.4","75.400000000000006","107.4","126.5"
"Treatable mortality","Male","2008","9","93.8","77.2","110.3","124.5"
"Treatable mortality","Male","2008","10","73.900000000000006","59.6","90.4","94.5"
"Treatable mortality","Male","2009","1","196.8","169.3","224.3","201"
"Treatable mortality","Male","2009","2","180.1","155.19999999999999","204.9","204"
"Treatable mortality","Male","2009","3","157.6","135.1","180.2","189.5"
"Treatable mortality","Male","2009","4","136.69999999999999","115.2","158.19999999999999","157"
"Treatable mortality","Male","2009","5","124.2","105.3","143","167.5"
"Treatable mortality","Male","2009","6","110.9","93.4","128.5","155"
"Treatable mortality","Male","2009","7","87.7","72.3","103","127"
"Treatable mortality","Male","2009","8","95","78.900000000000006","111.2","134"
"Treatable mortality","Male","2009","9","91.3","75.099999999999994","107.6","123"
"Treatable mortality","Male","2009","10","87","70.8","103.1","112.5"
"Treatable mortality","Male","2010","1","191.3","164.2","218.4","195.5"
"Treatable mortality","Male","2010","2","166","142.30000000000001","189.6","192"
"Treatable mortality","Male","2010","3","149.19999999999999","127.4","170.9","183"
"Treatable mortality","Male","2010","4","134.5","113.5","155.5","159.5"
"Treatable mortality","Male","2010","5","106.9","89.6","124.3","147.5"
"Treatable mortality","Male","2010","6","121.6","103.4","139.9","172.5"
"Treatable mortality","Male","2010","7","93.7","77.900000000000006","109.4","137"
"Treatable mortality","Male","2010","8","93.6","77.599999999999994","109.5","133"
"Treatable mortality","Male","2010","9","74.900000000000006","60.4","89.5","102.5"
"Treatable mortality","Male","2010","10","73.8","59.7","90.1","97"
"Treatable mortality","Male","2011","1","183","156.5","209.5","186.5"
"Treatable mortality","Male","2011","2","159.4","136","182.7","181.5"
"Treatable mortality","Male","2011","3","140.1","119.1","161.19999999999999","172.5"
"Treatable mortality","Male","2011","4","124.4","105","143.80000000000001","159.5"
"Treatable mortality","Male","2011","5","109.3","91.5","127.1","146.5"
"Treatable mortality","Male","2011","6","100","83.7","116.4","144.5"
"Treatable mortality","Male","2011","7","92.9","77","108.7","134"
"Treatable mortality","Male","2011","8","79.8","65","94.5","113"
"Treatable mortality","Male","2011","9","81.599999999999994","66.8","96.5","117.5"
"Treatable mortality","Male","2011","10","54.6","42.6","69","71.5"
"Treatable mortality","Male","2012","1","173.7","148.30000000000001","199.1","183.5"
"Treatable mortality","Male","2012","2","161.19999999999999","137.80000000000001","184.6","184.5"
"Treatable mortality","Male","2012","3","140.1","119.1","161","173"
"Treatable mortality","Male","2012","4","128","108.5","147.5","167"
"Treatable mortality","Male","2012","5","115.3","97.2","133.4","157.5"
"Treatable mortality","Male","2012","6","94.3","78.5","110.1","138.5"
"Treatable mortality","Male","2012","7","78.900000000000006","64.3","93.6","112.5"
"Treatable mortality","Male","2012","8","83.6","68.5","98.6","119.5"
"Treatable mortality","Male","2012","9","86.2","71.099999999999994","101.4","126"
"Treatable mortality","Male","2012","10","67.400000000000006","54.2","82.9","91.5"
"Treatable mortality","Male","2013","1","187.6","161.19999999999999","214","197.5"
"Treatable mortality","Male","2013","2","147.30000000000001","125","169.7","169.5"
"Treatable mortality","Male","2013","3","135.69999999999999","115.3","156.1","172"
"Treatable mortality","Male","2013","4","114.2","95.9","132.4","151"
"Treatable mortality","Male","2013","5","113.9","96.1","131.69999999999999","159"
"Treatable mortality","Male","2013","6","90.3","75.099999999999994","105.5","136.5"
"Treatable mortality","Male","2013","7","88.7","73.400000000000006","103.9","131.5"
"Treatable mortality","Male","2013","8","85.4","70.400000000000006","100.4","126"
"Treatable mortality","Male","2013","9","79.599999999999994","65.2","94","119"
"Treatable mortality","Male","2013","10","66.7","53.6","82.1","90"
"Treatable mortality","Male","2014","1","170","144.9","195.2","179.5"
"Treatable mortality","Male","2014","2","130.19999999999999","109.5","150.80000000000001","154.5"
"Treatable mortality","Male","2014","3","133.80000000000001","113.7","153.9","171.5"
"Treatable mortality","Male","2014","4","120.8","102.2","139.30000000000001","163.5"
"Treatable mortality","Male","2014","5","104.5","87.4","121.6","145"
"Treatable mortality","Male","2014","6","95.5","80","111","147.5"
"Treatable mortality","Male","2014","7","81.099999999999994","66.7","95.5","123.5"
"Treatable mortality","Male","2014","8","77.7","63.6","91.7","118"
"Treatable mortality","Male","2014","9","79.8","65.8","93.9","125"
"Treatable mortality","Male","2014","10","63","50.7","77.400000000000006","91"
"Treatable mortality","Male","2015","1","186.4","160","212.8","196"
"Treatable mortality","Male","2015","2","155.1","132.69999999999999","177.5","187"
"Treatable mortality","Male","2015","3","128.1","108.5","147.69999999999999","165"
"Treatable mortality","Male","2015","4","119.7","101.2","138.19999999999999","162"
"Treatable mortality","Male","2015","5","121.2","102.7","139.69999999999999","166.5"
"Treatable mortality","Male","2015","6","107.9","91.3","124.5","164"
"Treatable mortality","Male","2015","7","87.9","73.2","102.6","138.5"
"Treatable mortality","Male","2015","8","82.6","68.099999999999994","97.1","125.5"
"Treatable mortality","Male","2015","9","70","56.7","83.3","108"
"Treatable mortality","Male","2015","10","71.2","57.5","85","104.5"
"Treatable mortality","Male","2016","1","176.1","150.80000000000001","201.4","190"
"Treatable mortality","Male","2016","2","157.9","135.5","180.3","193"
"Treatable mortality","Male","2016","3","129","109.5","148.5","169.5"
"Treatable mortality","Male","2016","4","120.5","102","139.1","162.5"
"Treatable mortality","Male","2016","5","100.4","83.9","116.9","143.5"
"Treatable mortality","Male","2016","6","99.3","83.6","115","155.5"
"Treatable mortality","Male","2016","7","96.6","81.400000000000006","111.9","156.5"
"Treatable mortality","Male","2016","8","80.8","66.7","94.8","128"
"Treatable mortality","Male","2016","9","73.7","60.2","87.2","115"
"Treatable mortality","Male","2016","10","69.3","55.8","82.8","102.5"
"Treatable mortality","Male","2017","1","191.1","164.7","217.5","204.5"
"Treatable mortality","Male","2017","2","147.69999999999999","126.2","169.2","182.5"
"Treatable mortality","Male","2017","3","121.7","102.8","140.5","161"
"Treatable mortality","Male","2017","4","114.8","96.9","132.69999999999999","158.5"
"Treatable mortality","Male","2017","5","104","87.2","120.8","148.5"
"Treatable mortality","Male","2017","6","93.7","78.5","108.8","149"
"Treatable mortality","Male","2017","7","98.5","83.2","113.7","162"
"Treatable mortality","Male","2017","8","78","64.2","91.8","124.5"
"Treatable mortality","Male","2017","9","77.099999999999994","63.2","91","120"
"Treatable mortality","Male","2017","10","60.2","48.4","74","91.5"
"Treatable mortality","Male","2018","1","216.6","189.1","244.2","240"
"Treatable mortality","Male","2018","2","142.5","121.6","163.4","180"
"Treatable mortality","Male","2018","3","153.9","132.80000000000001","175","205.5"
"Treatable mortality","Male","2018","4","109.5","92.3","126.8","154.5"
"Treatable mortality","Male","2018","5","112.1","94.8","129.5","161.5"
"Treatable mortality","Male","2018","6","93.5","78.400000000000006","108.5","150.5"
"Treatable mortality","Male","2018","7","80.2","66.7","93.8","136"
"Treatable mortality","Male","2018","8","84.3","70","98.6","136"
"Treatable mortality","Male","2018","9","70.599999999999994","57.6","83.7","113.5"
"Treatable mortality","Male","2018","10","58.5","47","72","90"
"Treatable mortality","Male","2019","1","193.6","167.8","219.4","219"
"Treatable mortality","Male","2019","2","141.5","120.7","162.19999999999999","179"
"Treatable mortality","Male","2019","3","145.1","124.8","165.4","196"
"Treatable mortality","Male","2019","4","113.6","96","131.19999999999999","160.5"
"Treatable mortality","Male","2019","5","101.1","84.8","117.4","149.5"
"Treatable mortality","Male","2019","6","87.6","72.900000000000006","102.3","139.5"
"Treatable mortality","Male","2019","7","96.6","81.7","111.6","163"
"Treatable mortality","Male","2019","8","90.8","76","105.5","147.5"
"Treatable mortality","Male","2019","9","68.3","55.4","81.099999999999994","110"
"Treatable mortality","Male","2019","10","61.6","49.6","75.599999999999994","93.5"
"Treatable mortality","Male","2020","1","179.1","154.4","203.9","203.5"
"Treatable mortality","Male","2020","2","150.30000000000001","129","171.6","192"
